Word,RecordCount,TotalOccurrences,FirstLetter
"DEAN",6,11,"D"
"DR",6,10,"D"
"DOUG",5,10,"D"
"DEBORAH",5,9,"D"
"DEVOLL",4,10,"D"
"DOTTIE",4,8,"D"
"DANA",4,7,"D"
"DON",4,6,"D"
"DELANEY",3,8,"D"
"DUFF",3,8,"D"
"DIANA",3,7,"D"
"DOROTHY",3,6,"D"
"DIANNE",3,6,"D"
"DARROW",3,6,"D"
"DONNELLY",3,5,"D"
"DARLING",2,6,"D"
"DELIA",2,6,"D"
"DEVANNEY",2,6,"D"
"DOYON",2,6,"D"
"DOBERSTEIN",2,6,"D"
"DEMAGGIO",2,6,"D"
"DEBBIE",2,5,"D"
"DE",2,5,"D"
"DAWN",2,5,"D"
"DWIGHT",2,4,"D"
"DALEY",2,4,"D"
"DUNNE",2,4,"D"
"DUNHAM",2,4,"D"
"DOROTHEA",2,4,"D"
"DENGEL",2,4,"D"
"DANEVIC",2,4,"D"
"DAREN",2,4,"D"
"DELPRETE",2,4,"D"
"DORRIE",2,4,"D"
"DALE",2,4,"D"
"DIEGO",2,4,"D"
"DEVLIN",2,4,"D"
"DICKINSON",2,4,"D"
"DENGE",2,2,"D"
"DEBRA",2,2,"D"
"DENISE",2,2,"D"
"DEIRDRE",1,3,"D"
"DECESARE",1,3,"D"
"DRAPER",1,3,"D"
"DRIESMAN",1,3,"D"
"DAVIDSON",1,3,"D"
"DAKIN",1,3,"D"
"DONELLY",1,2,"D"
"DEB",1,2,"D"
"DUNLEAVY",1,2,"D"
"DONIS",1,2,"D"
"DARCY",1,2,"D"
"DORIS",1,2,"D"
"DOLORES",1,2,"D"
"DAIBER",1,2,"D"
"DAVIDXXX",1,2,"D"
"DESANTIS",1,2,"D"
"DEMPSEY",1,2,"D"
"DEVOS",1,2,"D"
"DIXON",1,2,"D"
"DODGE",1,2,"D"
"DOOLITTLE",1,2,"D"
"DRISCOLL",1,2,"D"
"DUGAN",1,2,"D"
"DURKIN",1,2,"D"
"DEROY",1,2,"D"
"DORA",1,2,"D"
"DOAN",1,2,"D"
"DEMATTEO",1,2,"D"
"DUALE",1,2,"D"
"DEVEREUX",1,2,"D"
"DICK",1,1,"D"
"ELIZABETH",24,47,"E"
"ERIC",8,16,"E"
"ELLEN",8,16,"E"
"ED",6,12,"E"
"EDWARD",6,12,"E"
"ERIN",5,10,"E"
"EILEEN",5,10,"E"
"ERICA",4,8,"E"
"EDWARDS",4,7,"E"
"EMANUEL",2,6,"E"
"ENGLE",2,6,"E"
"ELWELL",2,6,"E"
"ENGEL",2,6,"E"
"ENGLISH",2,5,"E"
"ELAINE",2,4,"E"
"ELLIE",2,4,"E"
"EMILIA",2,4,"E"
"ERRICHETTI",2,4,"E"
"EDMUND",2,4,"E"
"ELEANOR",2,4,"E"
"ELLIS",2,4,"E"
"EVELYN",2,4,"E"
"ENGLAND",2,4,"E"
"EPSTEIN",2,4,"E"
"EMSBO",1,3,"E"
"EVERETT",1,2,"E"
"ELLLIS",1,2,"E"
"ELLIOT",1,2,"E"
"EZZO",1,2,"E"
"ELSPETH",1,2,"E"
"ELDH",1,2,"E"
"EMMANUELLE",1,2,"E"
"EUGENIA",1,2,"E"
"EDITH",1,2,"E"
"EDMUNDXXXX",1,2,"E"
"EUGENE",1,2,"E"
"ELFRIEDE",1,2,"E"
"ERNST",1,2,"E"
"ELIOT",1,2,"E"
"ESME",1,1,"E"
"EVAN",1,1,"E"
"ESTATE",1,1,"E"
"FRANK",10,20,"F"
"FAMILY",8,12,"F"
"FOLEY",5,14,"F"
"FOX",5,14,"F"
"FORD",5,10,"F"
"FRANCES",4,8,"F"
"FRANCIS",4,8,"F"
"FIORATO",3,6,"F"
"FILLION",2,6,"F"
"FISCHBURG",2,6,"F"
"FULLER",2,6,"F"
"FORMICA",2,6,"F"
"FORSSELL",2,6,"F"
"FAGAN",2,6,"F"
"FARRAR",2,6,"F"
"FEEKS",2,6,"F"
"FINN",2,6,"F"
"FILIPPI",2,5,"F"
"FELDER",2,4,"F"
"FELICE",2,4,"F"
"FAILES",2,4,"F"
"FRANCO",2,4,"F"
"FRANCINE",2,4,"F"
"FOODIM",2,4,"F"
"FORBES",2,4,"F"
"FONTAINE",2,4,"F"
"FREDERICK",2,3,"F"
"FURMICA",1,4,"F"
"FOSTER",1,3,"F"
"FRESHMAN",1,3,"F"
"FOUNDATION",1,2,"F"
"FELDMAN",1,2,"F"
"FRASER",1,2,"F"
"FAILTE",1,2,"F"
"FALLON",1,2,"F"
"FANNING",1,2,"F"
"FEIBES",1,2,"F"
"FERGUSON",1,2,"F"
"FERRARO",1,2,"F"
"FITCH",1,2,"F"
"FAYE",1,2,"F"
"FARON",1,2,"F"
"FARGES",1,2,"F"
"FLYNN",1,2,"F"
"FAST",1,2,"F"
"FARM",1,1,"F"
"GILLIAN",6,12,"G"
"GEORGE",5,10,"G"
"GREG",5,10,"G"
"GORDON",5,10,"G"
"GREENMAN",4,11,"G"
"GRAHAM",4,10,"G"
"GREGORY",4,9,"G"
"GREENBERG",4,9,"G"
"GAIL",4,8,"G"
"GRAY",4,8,"G"
"GETSCHOW",3,8,"G"
"GILBERT",3,8,"G"
"GRETCHEN",3,7,"G"
"GRACE",3,6,"G"
"GERARD",3,6,"G"
"GERTRUDE",3,5,"G"
"GILPIN",2,6,"G"
"GIBBONS",2,6,"G"
"GETI",2,6,"G"
"GASNER",2,6,"G"
"GILLARD",2,6,"G"
"GUTH",2,6,"G"
"GILL",2,6,"G"
"GELSOMINI",2,6,"G"
"GUSTAFSON",2,6,"G"
"GIANNASCA",2,6,"G"
"GOURDON",2,6,"G"
"GLEIXNER",2,6,"G"
"GOODMAN",2,6,"G"
"GOSS",2,6,"G"
"GUERRY",2,6,"G"
"GEOFFREY",2,5,"G"
"GOULD",2,4,"G"
"GREGG",2,4,"G"
"GAY",2,4,"G"
"GLORIA",2,4,"G"
"GLENNA",2,4,"G"
"GARY",2,4,"G"
"GEORGIANNE",2,4,"G"
"GIBBS",2,4,"G"
"GRINDLEY",2,4,"G"
"GLENN",2,4,"G"
"GALLISTEL",2,4,"G"
"GELMAN",2,4,"G"
"GOODRICH",2,4,"G"
"GROSS",2,4,"G"
"GREGGXXX",2,4,"G"
"GLENDA",2,4,"G"
"GERALD",2,2,"G"
"GEOGHEGAN",2,2,"G"
"GLEN",1,3,"G"
"GAETAN",1,2,"G"
"GOLDWYN",1,2,"G"
"GAFFETT",1,2,"G"
"GALLAGHER",1,2,"G"
"GELNAW",1,2,"G"
"GEMPP",1,2,"G"
"GOBERN",1,2,"G"
"GOETZ",1,2,"G"
"GOLDSMITH",1,2,"G"
"GORAYEB",1,2,"G"
"GORTON",1,2,"G"
"GARDEN",1,2,"G"
"GRUEN",1,2,"G"
"GROSSMAN",1,2,"G"
"GALLACHER",1,2,"G"
"GOERSCH",1,2,"G"
"GEOFF",1,1,"G"
"GWYNNE",1,1,"G"
"GUNN",1,1,"G"
"HELEN",11,22,"H"
"HENRY",10,20,"H"
"HARTNETT",5,15,"H"
"HALL",4,10,"H"
"HARVEY",4,8,"H"
"HAROLD",4,8,"H"
"HACKSTAFF",3,8,"H"
"HUNTINGTON",3,8,"H"
"HINTHORN",3,8,"H"
"HOWE",3,8,"H"
"HILL",3,8,"H"
"HEINEMAN",3,8,"H"
"HOROWITZ",3,7,"H"
"HAYES",3,7,"H"
"HEIDI",3,6,"H"
"HERRINGTON",2,6,"H"
"HIZA",2,6,"H"
"HOLDRIDGE",2,6,"H"
"HARRIS",2,6,"H"
"HEINRICH",2,6,"H"
"HOYT",2,6,"H"
"HOLLAWAY",2,6,"H"
"HENNCH",2,6,"H"
"HEALY",2,6,"H"
"HAYDE",2,6,"H"
"HELMBOLDT",2,6,"H"
"HARTIGAN",2,6,"H"
"HILGER",2,6,"H"
"HEAGNEY",2,5,"H"
"HERRAN",2,4,"H"
"HERD",2,4,"H"
"HADLEY",2,4,"H"
"HAIMSON",2,4,"H"
"HOWARD",2,4,"H"
"HOROWITZXXX",2,4,"H"
"HOLMES",2,4,"H"
"HOMANS",2,4,"H"
"HURD",2,4,"H"
"HURLEY",2,3,"H"
"HOLM",1,3,"H"
"HOWARTH",1,3,"H"
"HILLARY",1,3,"H"
"HAMLIN",1,2,"H"
"HENNESSY",1,2,"H"
"HORAN",1,2,"H"
"HERMANN",1,2,"H"
"HARMON",1,2,"H"
"HERMAN",1,2,"H"
"HASSINGER",1,2,"H"
"HELTERLINE",1,2,"H"
"HENSON",1,2,"H"
"HERRANEN",1,2,"H"
"HEYDON",1,2,"H"
"HILLSIDE",1,2,"H"
"HOMAN",1,2,"H"
"HOROWEITZXXX",1,2,"H"
"HOUSE",1,2,"H"
"HUGGINS",1,2,"H"
"HUTCHINS",1,2,"H"
"HYDE",1,2,"H"
"HENNY",1,2,"H"
"HENAULT",1,2,"H"
"HANTMAN",1,2,"H"
"HAZARD",1,2,"H"
"HAMMARSKJOLD",1,2,"H"
"HIRSCH",1,2,"H"
"HOOD",1,2,"H"
"HOLLAND",1,2,"H"
"HOOPER",1,2,"H"
"HAGEDORN",1,2,"H"
"HEEKIN",1,2,"H"
"HRIBEK",1,2,"H"
"HIGHET",1,2,"H"
"HAYER",1,2,"H"
"HEATHER",1,2,"H"
"HOLLY",1,1,"H"
"HARRIET",1,1,"H"
"IRENE",4,8,"I"
"INGRAHAM",2,6,"I"
"IVES",2,6,"I"
"IGNAZIO",2,4,"I"
"ISRAEL",2,4,"I"
"ILA",2,4,"I"
"INC",2,4,"I"
"ISLAND",2,3,"I"
"INDENTURE",1,2,"I"
"ISAAC",1,2,"I"
"ICE",1,2,"I"
"IZARD",1,2,"I"
"II",1,1,"I"
"JOHN",39,78,"J"
"JAMES",35,70,"J"
"JANE",21,42,"J"
"JOSEPH",21,40,"J"
"JENNIFER",12,25,"J"
"JOAN",12,23,"J"
"JUDITH",10,19,"J"
"JONATHAN",9,18,"J"
"JULIE",7,15,"J"
"JANET",6,14,"J"
"JACK",6,8,"J"
"JOYCE",5,10,"J"
"JR",5,10,"J"
"JEAN",5,9,"J"
"JIM",5,9,"J"
"JACOBSON",4,10,"J"
"JOE",4,8,"J"
"JENNA",4,8,"J"
"JOANNE",4,8,"J"
"JUNE",4,8,"J"
"JASON",4,8,"J"
"JOHNSON",3,8,"J"
"JUSTIN",3,6,"J"
"JEFFREY",3,6,"J"
"JAN",3,6,"J"
"JO",3,4,"J"
"JONES",2,6,"J"
"JOKL",2,6,"J"
"JEANINE",2,4,"J"
"JESSIE",2,4,"J"
"JENNY",2,4,"J"
"JENKINS",2,4,"J"
"JACKSON",2,4,"J"
"JULIUS",2,4,"J"
"JEROME",2,4,"J"
"JACOB",2,4,"J"
"JEREMIA",2,2,"J"
"JOSHUA",1,3,"J"
"JOSE",1,3,"J"
"JEREMIAH",1,2,"J"
"JAYME",1,2,"J"
"JEFF",1,2,"J"
"JERRY",1,2,"J"
"JEANETTE",1,2,"J"
"JARED",1,2,"J"
"JACKE",1,2,"J"
"JENNINGS",1,2,"J"
"JONAH",1,2,"J"
"JOHNXXX",1,2,"J"
"JENS",1,2,"J"
"JOHANNA",1,2,"J"
"JAIME",1,2,"J"
"JOEL",1,2,"J"
"JEN",1,2,"J"
"JUDY",1,2,"J"
"JAHNEL",1,2,"J"
"JANTZEN",1,2,"J"
"JAKE",1,2,"J"
"JOSEPHINE",1,2,"J"
"JULIANNE",1,2,"J"
"JACLYN",1,1,"J"
"JAEGER",1,1,"J"
"JORGEN",1,1,"J"
"KENNETH",17,35,"K"
"KAREN",10,21,"K"
"KEITH",10,20,"K"
"KATHLEEN",10,20,"K"
"KATHERINE",9,18,"K"
"KELLY",8,18,"K"
"KEVIN",8,17,"K"
"KIM",7,14,"K"
"KATHRYN",6,11,"K"
"KIMBERLY",5,10,"K"
"KNAPP",4,10,"K"
"KING",4,9,"K"
"KRISTIN",4,8,"K"
"KATE",4,8,"K"
"KARLA",4,8,"K"
"KAHN",3,8,"K"
"KAUFMANN",3,6,"K"
"KRISTEN",3,6,"K"
"KURT",3,6,"K"
"KEMPF",3,6,"K"
"KORST",2,6,"K"
"KLING",2,6,"K"
"KEITER",2,6,"K"
"KOOPMAN",2,6,"K"
"KERN",2,6,"K"
"KNOTT",2,6,"K"
"KLEIBER",2,6,"K"
"KIRSHNER",2,6,"K"
"KIKUCHI",2,6,"K"
"KEEFE",2,6,"K"
"KONDRACKI",2,6,"K"
"KORFIN",2,6,"K"
"KANE",2,6,"K"
"KANDEL",2,6,"K"
"KIELTYKA",2,5,"K"
"KRISTINA",2,4,"K"
"KESSLER",2,4,"K"
"KRONMAN",2,4,"K"
"KALB",2,4,"K"
"KOSTANT",2,4,"K"
"KRUCZEK",2,4,"K"
"KEENAN",2,4,"K"
"KRAMER",2,4,"K"
"KATHARINE",2,4,"K"
"KAUFMAN",2,2,"K"
"KIRBY",1,4,"K"
"KELLEY",1,4,"K"
"KORTEN",1,3,"K"
"KARAN",1,3,"K"
"KRUSEWKI",1,2,"K"
"KENT",1,2,"K"
"KIMBERLEY",1,2,"K"
"KATY",1,2,"K"
"KALBA",1,2,"K"
"KROLL",1,2,"K"
"KUHAR",1,2,"K"
"KATHERINEXXX",1,2,"K"
"KAYLAN",1,2,"K"
"KAY",1,2,"K"
"KILEY",1,2,"K"
"KAMIL",1,2,"K"
"KILLIP",1,2,"K"
"KARLEWICZ",1,2,"K"
"KRUGER",1,2,"K"
"KATZ",1,2,"K"
"KINOY",1,2,"K"
"KRIS",1,2,"K"
"KRUSEWSKI",1,1,"K"
"KAE",1,1,"K"
"LINDA",21,42,"L"
"LAWRENCE",12,25,"L"
"LAURA",10,19,"L"
"LYNN",10,17,"L"
"LESLIE",9,18,"L"
"LEE",9,18,"L"
"LEWIS",8,18,"L"
"LISA",7,14,"L"
"LANG",6,16,"L"
"LARRY",6,12,"L"
"LLC",6,10,"L"
"LILLIAN",5,10,"L"
"LORI",5,9,"L"
"LOYA",4,10,"L"
"LITTLEFIELD",4,10,"L"
"LORRAINE",4,8,"L"
"LLOYD",4,8,"L"
"LOGAN",4,8,"L"
"LEARY",3,8,"L"
"LICHT",3,8,"L"
"LOUISE",3,6,"L"
"LITTLE",2,7,"L"
"LAPHAM",2,6,"L"
"LARRABEE",2,6,"L"
"LACOSTE",2,6,"L"
"LYNCH",2,6,"L"
"LOVERIDGE",2,6,"L"
"LILLIE",2,6,"L"
"LIBOW",2,6,"L"
"LENOCI",2,6,"L"
"LANE",2,6,"L"
"LAMOTTE",2,6,"L"
"LAAMAN",2,6,"L"
"LIVESEY",2,6,"L"
"LYONS",2,6,"L"
"LEHMAN",2,6,"L"
"LAMB",2,6,"L"
"LIVINGSTON",2,6,"L"
"LAURIE",2,5,"L"
"LICHTER",2,5,"L"
"LINDBERGH",2,4,"L"
"LEVY",2,4,"L"
"LYNWOOD",2,4,"L"
"LYDIA",2,4,"L"
"LANDMAN",2,4,"L"
"LEAH",2,4,"L"
"LUCINDA",2,4,"L"
"LAUREN",2,4,"L"
"LYLE",2,4,"L"
"LAMPROS",2,4,"L"
"LOWELL",2,4,"L"
"LEONIE",2,4,"L"
"LESTER",2,4,"L"
"LANGDON",2,4,"L"
"LEDDY",2,4,"L"
"LOUIS",2,3,"L"
"LORRIE",2,2,"L"
"LILLLY",1,3,"L"
"LIISA",1,3,"L"
"LUBRANO",1,3,"L"
"LARKIN",1,3,"L"
"LINCOLN",1,3,"L"
"LIPSCOMB",1,3,"L"
"LYN",1,2,"L"
"LASE",1,2,"L"
"LEO",1,2,"L"
"LULA",1,2,"L"
"LTD",1,2,"L"
"LANGSDORF",1,2,"L"
"LARUE",1,2,"L"
"LAW",1,2,"L"
"LAWLESS",1,2,"L"
"LEMOINE",1,2,"L"
"LEVEILLE",1,2,"L"
"LEWISXXX",1,2,"L"
"LIACOURAS",1,2,"L"
"LICHTERXXX",1,2,"L"
"LITTLER",1,2,"L"
"LOUTTIT",1,2,"L"
"LUCK",1,2,"L"
"LUDDY",1,2,"L"
"LUCILE",1,2,"L"
"LLP",1,2,"L"
"LORENZO",1,2,"L"
"LUCA",1,2,"L"
"LORETTA",1,2,"L"
"LYDGATE",1,2,"L"
"LACERTE",1,2,"L"
"LUTZ",1,2,"L"
"LEFCOURT",1,2,"L"
"LOEWENTHAL",1,2,"L"
"LIENCRES",1,2,"L"
"LA",1,2,"L"
"LEONARD",1,1,"L"
"LEVIN",1,1,"L"
"LIZ",1,1,"L"
"LASA",1,1,"L"
"LIVING",1,1,"L"
"MICHAEL",38,76,"M"
"MARY",36,71,"M"
"MARTIN",15,38,"M"
"MARK",15,30,"M"
"MARTHA",11,20,"M"
"MARGARET",10,20,"M"
"MARILYN",10,18,"M"
"MURPHY",9,24,"M"
"MITCHELL",9,17,"M"
"MILLER",8,23,"M"
"MARIE",7,14,"M"
"MATTHEW",6,13,"M"
"MARION",6,10,"M"
"MCCOLLAM",4,10,"M"
"MCMELLON",4,10,"M"
"MICHELLE",4,8,"M"
"MONROE",4,8,"M"
"MOSS",3,8,"M"
"MORRIS",3,8,"M"
"MELLOR",3,8,"M"
"MINADEO",3,8,"M"
"MARINO",3,8,"M"
"MOYNAHAN",3,8,"M"
"MAURICE",3,6,"M"
"MELISSA",3,6,"M"
"MICHELE",3,6,"M"
"MORAN",3,6,"M"
"MAURA",3,6,"M"
"MAUREEN",3,6,"M"
"MCMANUS",3,6,"M"
"MARCIA",3,5,"M"
"MACGILL",2,6,"M"
"MCGUIRK",2,6,"M"
"MILLS",2,6,"M"
"MALONE",2,6,"M"
"MCCAFFREY",2,6,"M"
"MCKERNAN",2,6,"M"
"MARSHALL",2,6,"M"
"MCPHEE",2,6,"M"
"MARTY",2,6,"M"
"MORRISON",2,6,"M"
"MISSBRENNER",2,6,"M"
"MILLIKIN",2,6,"M"
"MILLEA",2,6,"M"
"MCMAHON",2,6,"M"
"MANSFIELD",2,6,"M"
"MAGENNIS",2,6,"M"
"MONIESON",2,6,"M"
"MEAD",2,6,"M"
"MCCORMICK",2,6,"M"
"MCGINNES",2,5,"M"
"MEYERS",2,4,"M"
"MAGGIE",2,4,"M"
"MARISA",2,4,"M"
"MANDEL",2,4,"M"
"MADELENE",2,4,"M"
"MERYL",2,4,"M"
"MEGAN",2,4,"M"
"MCCLELLAN",2,4,"M"
"MAWHINNEY",2,4,"M"
"MARLEE",2,4,"M"
"MAUDE",2,4,"M"
"MERCEDES",2,4,"M"
"MAYUMI",2,4,"M"
"MICHELINE",2,4,"M"
"MARIANNE",2,4,"M"
"MARJA",2,4,"M"
"MARYROSE",2,4,"M"
"MAGNOTTI",2,4,"M"
"MAGDALEN",2,4,"M"
"MELANIE",2,4,"M"
"MAGUIRE",2,4,"M"
"MARC",2,4,"M"
"MAHON",2,4,"M"
"MARTE",2,4,"M"
"MILLARD",2,4,"M"
"MONICA",2,4,"M"
"MACDOUGALL",2,4,"M"
"MARCOUX",2,4,"M"
"MCCLUSKEY",2,4,"M"
"MARYANN",2,4,"M"
"MARIA",2,3,"M"
"MOLLY",2,3,"M"
"MATT",2,2,"M"
"MACMULLEN",2,2,"M"
"MD",2,2,"M"
"MACNEIL",1,3,"M"
