Word,RecordCount,TotalOccurrences,FirstLetter
"GELSOMINI",4,5,"G"
"GEER",4,4,"G"
"GRACE",4,4,"G"
"GASNER",4,4,"G"
"GOODMAN",3,3,"G"
"GUERRY",3,3,"G"
"GEOFFREY",3,3,"G"
"GREENAWAY",3,3,"G"
"GAY",3,3,"G"
"GORHAM",3,3,"G"
"GORDON",3,3,"G"
"GLENN",2,2,"G"
"GLORIA",2,2,"G"
"GONSALVES",2,2,"G"
"GILL",2,2,"G"
"GARY",2,2,"G"
"GERTRUDE",2,2,"G"
"GORAYEB",2,2,"G"
"GOVERNMENT",2,2,"G"
"GOBERN",2,2,"G"
"GRAY",2,2,"G"
"GUARD",2,2,"G"
"GAIL",2,2,"G"
"GRAHAM",2,2,"G"
"GILLIAN",1,1,"G"
"GALLANT",1,1,"G"
"GEMPP",1,1,"G"
"GATE",1,1,"G"
"GIBBONS",1,1,"G"
"GIMBER",1,1,"G"
"GREENMAN",1,1,"G"
"GREENSPAN",1,1,"G"
"GORTON",1,1,"G"
"GBAC",1,1,"G"
"GERHARD",1,1,"G"
"GARRISON",1,1,"G"
"GETRUDE",1,1,"G"
"GOOD",1,1,"G"
"GILBERT",1,1,"G"
"GARTH",1,1,"G"
"GIGIBI",1,1,"G"
"GST",1,1,"G"
"GIANNUZZI",1,1,"G"
"GUMKOWSKI",1,1,"G"
"GOLINVEAU",1,1,"G"
"GWENDOLYN",1,1,"G"
"GILPIN",1,1,"G"
"GEORGIANNE",1,1,"G"
"GREGG",1,1,"G"
"GETSCHOW",1,1,"G"
"GOLDSTEIN",1,1,"G"
"GUSTAFSON",1,1,"G"
"GIVERNY",1,1,"G"
"GIBSON",1,1,"G"
"GALLISTEL",1,1,"G"
"GERRY",1,1,"G"
"GRETCHEN",1,1,"G"
"GLEIXNER",1,1,"G"
"GIANNASCA",1,1,"G"
"GRULLEN",1,1,"G"
"GILMOUR",1,1,"G"
"GRINDLEY",1,1,"G"
"GUY",1,1,"G"
"GILLIGAN",1,1,"G"
"GOLDWYN",1,1,"G"
"GRACIE",1,1,"G"
"GENDREAU",1,1,"G"
"GANN",1,1,"G"
"GRANWEHR",1,1,"G"
"GUERLAIN",1,1,"G"
"GELNAW",1,1,"G"
"GROHSGAL",1,1,"G"
"GREENBERG",1,1,"G"
"HOLDINGS",15,15,"H"
"HARBOR",12,12,"H"
"HILL",11,11,"H"
"HALL",9,10,"H"
"HOUSE",9,9,"H"
"HOMEOWNERS",9,9,"H"
"HIGH",8,8,"H"
"HELTERLINE",6,6,"H"
"HEINZ",5,5,"H"
"HEIDI",4,4,"H"
"HENRY",4,4,"H"
"HEDIGER",3,3,"H"
"HOA",3,3,"H"
"HARBORVIEW",3,3,"H"
"HOTEL",3,3,"H"
"HOUSING",3,3,"H"
"HIZA",2,2,"H"
"HAMMERSKJOLD",2,2,"H"
"HELEN",2,2,"H"
"HUNT",2,2,"H"
"HARMON",2,2,"H"
"HEATHER",2,2,"H"
"HOWE",2,2,"H"
"HOSPITALITY",2,2,"H"
"HAYDE",2,2,"H"
"HETHERINGTON",2,2,"H"
"HOROWITZ",2,2,"H"
"HARTIGAN",2,2,"H"
"HOLDFAST",2,2,"H"
"HEIGHTS",2,2,"H"
"HUFTALEN",1,1,"H"
"HANRAHAN",1,1,"H"
"HYGEIA",1,1,"H"
"HOLBROOK",1,1,"H"
"HAROLD",1,1,"H"
"HAGEDORN",1,1,"H"
"HARRISON",1,1,"H"
"HOVE",1,1,"H"
"HORST",1,1,"H"
"HUBBARD",1,1,"H"
"HAZARD",1,1,"H"
"HEARTS",1,1,"H"
"HOLM",1,1,"H"
"HOPE",1,1,"H"
"HRIBEK",1,1,"H"
"HILGER",1,1,"H"
"HAMMARSKJOLD",1,1,"H"
"HANNA",1,1,"H"
"HANG",1,1,"H"
"HOMESTEAD",1,1,"H"
"HARBOURVIEW",1,1,"H"
"HARTFORD",1,1,"H"
"HEINEMAN",1,1,"H"
"HOLEVER",1,1,"H"
