Word,RecordCount,TotalOccurrences,FirstLetter
"MAUREEN",3,6,"M"
"JAN",3,6,"J"
"UNKNOWN",3,6,"U"
"KEMPF",3,6,"K"
"MCMANUS",3,6,"M"
"WOOD",3,6,"W"
"GERTRUDE",3,5,"G"
"CARLA",3,5,"C"
"STEVE",3,5,"S"
"TERESA",3,5,"T"
"DONNELLY",3,5,"D"
"AMY",3,5,"A"
"SARA",3,5,"S"
"MARCIA",3,5,"M"
"SPINNLER",3,5,"S"
"PASTERNAK",3,5,"P"
"JO",3,4,"J"
"SHEDD",2,8,"S"
"LITTLE",2,7,"L"
"MACGILL",2,6,"M"
"MCGUIRK",2,6,"M"
"GILPIN",2,6,"G"
"HERRINGTON",2,6,"H"
"PIERCE",2,6,"P"
"GIBBONS",2,6,"G"
"SAVAGE",2,6,"S"
"RIPER",2,6,"R"
"CHEHEBAR",2,6,"C"
"DARLING",2,6,"D"
"JONES",2,6,"J"
"CRARY",2,6,"C"
"CROWLEY",2,6,"C"
"DELIA",2,6,"D"
"WUJEK",2,6,"W"
"SHUST",2,6,"S"
"KORST",2,6,"K"
"KLING",2,6,"K"
"HIZA",2,6,"H"
"JOKL",2,6,"J"
"KEITER",2,6,"K"
"ZELITCH",2,6,"Z"
"WRONOWSKI",2,6,"W"
"SHEPHERD",2,6,"S"
"SYPHER",2,6,"S"
"SILVERMAN",2,6,"S"
"ROSENFELD",2,6,"R"
"RECORD",2,6,"R"
"RULE",2,6,"R"
"REDLICH",2,6,"R"
"PURSEL",2,6,"P"
"PREISER",2,6,"P"
"MILLS",2,6,"M"
"NOONAN",2,6,"N"
"MALONE",2,6,"M"
"MCCAFFREY",2,6,"M"
"MCKERNAN",2,6,"M"
"MARSHALL",2,6,"M"
"MCPHEE",2,6,"M"
"MARTY",2,6,"M"
"LAPHAM",2,6,"L"
"LARRABEE",2,6,"L"
"LACOSTE",2,6,"L"
"KOOPMAN",2,6,"K"
"KERN",2,6,"K"
"HOLDRIDGE",2,6,"H"
"HARRIS",2,6,"H"
"HEINRICH",2,6,"H"
